Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	pfam	domain	IPR004360		
PF00904	Involucrin repeat	pfam	repeat	IPR000354		
PF00905	Penicillin binding protein transpeptidase domain	pfam	domain	IPR001460		
PF00906	Hepatitis core antigen	pfam	domain	IPR002006		
PF00907	T-box	pfam	domain	IPR046360		
PF00908	dTDP-4-dehydrorhamnose 3,5-epimerase	pfam	domain	IPR000888		
PF00909	Ammonium Transporter Family	pfam	family	IPR024041		
PF00910	RNA helicase	pfam	domain	IPR000605		
PF00912	Transglycosylase	pfam	family	IPR001264		
PF00913	Trypanosome variant surface glycoprotein (A-type)	pfam	domain	IPR001812		
PF00915	Calicivirus coat protein	pfam	family	IPR004005		
PF00916	Sulfate permease family	pfam	family	IPR011547		
PF00917	MATH domain	pfam	domain	IPR002083		
PF00918	Gastrin/cholecystokinin family	pfam	family	IPR001651		
PF00919	Uncharacterized protein family UPF0004	pfam	family	IPR013848		
PF00920	Dehydratase family	pfam	family	IPR000581		
PF00921	Borrelia lipoprotein	pfam	family	IPR000680		
PF00922	Vesiculovirus phosphoprotein	pfam	family			
PF00923	Transaldolase/Fructose-6-phosphate aldolase	pfam	domain	IPR001585		
PF00924	Mechanosensitive ion channel	pfam	family	IPR006685		
PF00925	GTP cyclohydrolase II	pfam	family	IPR032677		
PF00926	3,4-dihydroxy-2-butanone 4-phosphate synthase	pfam	family	IPR000422		
PF00927	Transglutaminase family, C-terminal ig like domain	pfam	domain	IPR008958		
PF00928	Adaptor complexes medium subunit family	pfam	family	IPR028565		
PF00929	Exonuclease	pfam	family	IPR013520		
PF00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region	pfam	repeat	IPR002469		
PF00931	NB-ARC domain	pfam	domain	IPR002182		
PF00932	Lamin Tail Domain	pfam	domain	IPR001322		
PF00933	Glycosyl hydrolase family 3 N terminal domain	pfam	domain	IPR001764		
PF00934	PE family	pfam	family	IPR000084		
PF00935	Ribosomal protein L44	pfam	family	IPR000552		
PF00936	BMC domain	pfam	domain	IPR000249		
PF00937	Coronavirus nucleocapsid	pfam	family	IPR001218		
PF00938	Lipoprotein	pfam	family	IPR001595		
PF00939	Sodium:sulfate symporter transmembrane region	pfam	family	IPR001898		
PF00940	DNA-dependent RNA polymerase	pfam	family	IPR046950		
PF00941	FAD binding domain in molybdopterin dehydrogenase	pfam	family	IPR002346		
PF00942	Cellulose binding domain	pfam	domain	IPR001956		
PF00943	Alphavirus E2 glycoprotein	pfam	family	IPR000936		
PF00944	Alphavirus core protein	pfam	domain	IPR000930		
PF00945	Rhabdovirus nucleocapsid protein	pfam	family	IPR000448		
PF00946	Mononegavirales RNA dependent RNA polymerase	pfam	family	IPR014023		
PF00947	Picornavirus core protein 2A	pfam	domain	IPR000081		
PF00948	Flavivirus non-structural Protein NS1	pfam	family	IPR001157		
PF00949	Peptidase S7, Flavivirus NS3 serine protease	pfam	family	IPR001850		
PF00950	ABC 3 transport family	pfam	family	IPR001626		
PF00951	Arterivirus GL envelope glycoprotein	pfam	family	IPR001332		
PF00952	Bunyavirus nucleocapsid (N) protein	pfam	family	IPR001784		
PF00953	Glycosyl transferase family 4	pfam	family	IPR000715		
PF00954	S-locus glycoprotein domain	pfam	domain	IPR000858		
PF00955	HCO3- transporter family	pfam	family	IPR011531		
PF00956	Nucleosome assembly protein (NAP)	pfam	family	IPR002164		
PF00957	Synaptobrevin	pfam	family	IPR042855		
PF00958	GMP synthase C terminal domain	pfam	domain	IPR001674		
PF00959	Phage lysozyme	pfam	domain	IPR002196		
PF00960	Neocarzinostatin family	pfam	domain	IPR002186		
PF00961	LAGLIDADG endonuclease	pfam	domain	IPR004860		
PF00962	Adenosine deaminase	pfam	domain	IPR001365		
PF00963	Cohesin domain	pfam	domain	IPR002102		
PF00964	Elicitin	pfam	domain	IPR002200		
PF00965	Tissue inhibitor of metalloproteinase	pfam	domain	IPR001820		
PF00967	Barwin family	pfam	domain	IPR001153		
PF00969	Class II histocompatibility antigen, beta domain	pfam	domain	IPR000353		
PF00970	Oxidoreductase FAD-binding domain	pfam	domain	IPR008333		
PF00971	EIAV coat protein, gp90	pfam	family	IPR001361		
PF00972	Flavivirus RNA-directed RNA polymerase, fingers and palm domains	pfam	domain	IPR000208		
PF00973	Paramyxovirus nucleocapsid protein	pfam	family	IPR002021		
PF00974	Rhabdovirus spike glycoprotein	pfam	family	IPR001903		
PF00975	Thioesterase domain	pfam	domain	IPR001031		
PF00976	Corticotropin ACTH domain	pfam	family	IPR013531		
PF00977	Histidine biosynthesis protein	pfam	family	IPR006062		
PF00978	RNA dependent RNA polymerase	pfam	family	IPR001788		
PF00979	Reovirus outer capsid protein, Sigma 3	pfam	family	IPR000153		
PF00980	Rotavirus major capsid protein VP6	pfam	family	IPR001385		
PF00981	Rotavirus RNA-binding Protein 53 (NS53)	pfam	family	IPR002148		
PF00982	Glycosyltransferase family 20	pfam	family	IPR001830		
PF00983	Tymovirus coat protein	pfam	domain	IPR000574		
PF00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain	pfam	domain	IPR014026		
PF00985	Merozoite Surface Antigen 2 (MSA-2) family	pfam	family	IPR001136		
PF00986	DNA gyrase B subunit, carboxyl terminus	pfam	family	IPR002288		
PF00988	Carbamoyl-phosphate synthase small chain, CPSase domain	pfam	domain	IPR002474		
PF00989	PAS fold	pfam	domain	IPR013767		
PF00990	Diguanylate cyclase, GGDEF domain	pfam	domain	IPR000160		
PF00992	Troponin	pfam	family	IPR001978		
PF00993	Class II histocompatibility antigen, alpha domain	pfam	domain	IPR001003		
PF00994	Probable molybdopterin binding domain	pfam	domain	IPR001453		
PF00995	Sec1 family	pfam	family	IPR001619		
PF00996	GDP dissociation inhibitor	pfam	family	IPR018203		
PF00997	Kappa casein	pfam	family	IPR000117		
PF00998	Viral RNA dependent RNA polymerase	pfam	family	IPR002166		
PF00999	Sodium/hydrogen exchanger family	pfam	family	IPR006153		
PF01000	RNA polymerase Rpb3/RpoA insert domain	pfam	domain	IPR011262		
PF01001	Hepatitis C virus non-structural protein NS4b	pfam	family	IPR001490		
PF01002	Flavivirus non-structural protein NS2B	pfam	family	IPR000487		
PF01003	Flavivirus capsid protein C	pfam	family	IPR001122		
PF01004	Flavivirus envelope glycoprotein M	pfam	family	IPR000069		
PF01005	Flavivirus non-structural protein NS2A	pfam	family	IPR000752		
PF01006	Hepatitis C virus non-structural protein NS4a	pfam	family	IPR000745		
PF01007	Inward rectifier potassium channel transmembrane domain	pfam	domain	IPR040445		
PF01008	Initiation factor 2 subunit family	pfam	family	IPR000649		
PF01010	NADH-dehyrogenase subunit F, TMs, (complex I) C-terminus	pfam	family	IPR002128		
PF01011	PQQ enzyme repeat	pfam	repeat	IPR002372		
PF01012	Electron transfer flavoprotein domain	pfam	domain	IPR014730		
PF01014	Uricase	pfam	domain	IPR002042		
PF01015	Ribosomal S3Ae family	pfam	family	IPR001593		
PF01016	Ribosomal L27 protein	pfam	family	IPR001684		
PF01017	STAT protein, all-alpha domain	pfam	family	IPR013800		
PF01018	GTP1/OBG	pfam	domain	IPR006169		
PF01019	Gamma-glutamyltranspeptidase	pfam	domain			
PF01020	Ribosomal L40e family	pfam	family	IPR001975		
PF01021	Ty transposon capsid protein	pfam	family	IPR015820		
PF01022	Bacterial regulatory protein, arsR family	pfam	domain	IPR001845		
PF01023	S-100/ICaBP type calcium binding domain	pfam	domain	IPR013787		
PF01024	Colicin pore forming domain	pfam	domain	IPR000293		
PF01025	GrpE	pfam	family	IPR000740		
PF01026	TatD related DNase	pfam	domain	IPR001130		
PF01027	Inhibitor of apoptosis-promoting Bax1	pfam	family	IPR006214		
PF01028	Eukaryotic DNA topoisomerase I, catalytic core	pfam	domain	IPR013500		
PF01029	NusB family	pfam	domain	IPR006027		
PF01030	Receptor L domain	pfam	repeat	IPR000494		
PF01031	Dynamin central region	pfam	family	IPR000375		
PF01032	FecCD transport family	pfam	family	IPR000522		
PF01033	Somatomedin B domain	pfam	family	IPR001212		
PF01034	Syndecan domain	pfam	family	IPR027789		
PF01035	6-O-methylguanine DNA methyltransferase, DNA binding domain	pfam	domain	IPR014048		
PF01036	Bacteriorhodopsin-like protein	pfam	domain	IPR001425		
PF01037	Lrp/AsnC ligand binding domain	pfam	domain	IPR019887		
PF01039	Carboxyl transferase domain	pfam	family	IPR034733		
PF01040	UbiA prenyltransferase family	pfam	family	IPR000537		
PF01041	DegT/DnrJ/EryC1/StrS aminotransferase family	pfam	domain	IPR000653		
PF01042	Endoribonuclease L-PSP	pfam	domain	IPR006175		
PF01043	SecA preprotein cross-linking domain	pfam	domain	IPR011130		
PF01044	Vinculin family	pfam	family	IPR006077		
PF01047	MarR family	pfam	domain	IPR000835		
PF01048	Phosphorylase superfamily	pfam	domain	IPR000845		
PF01049	Cadherin, Y-type LIR-motif	pfam	family	IPR000233		
PF01050	Mannose-6-phosphate isomerase	pfam	family	IPR001538		
PF01051	Initiator Replication protein	pfam	family	IPR000525		
PF01052	Type III flagellar switch regulator (C-ring) FliN C-term	pfam	family	IPR001543		
PF01053	Cys/Met metabolism PLP-dependent enzyme	pfam	domain	IPR000277		
PF01054	Mouse mammary tumour virus superantigen	pfam	family	IPR001213		
PF01055	Glycosyl hydrolases family 31	pfam	family	IPR000322		
PF01056	Myc amino-terminal region	pfam	family	IPR012682		
PF01057	Parvovirus non-structural protein NS1	pfam	domain	IPR001257		
PF01058	NADH ubiquinone oxidoreductase, 20 Kd subunit	pfam	family	IPR006137		
PF01059	NADH-ubiquinone oxidoreductase chain 4, amino terminus	pfam	family	IPR000260		
PF01060	Transthyretin-like family	pfam	family	IPR001534		
PF01061	ABC-2 type transporter	pfam	family	IPR013525		
PF01062	Bestrophin, RFP-TM, chloride channel	pfam	family	IPR021134		
PF01063	Amino-transferase class IV	pfam	domain	IPR001544		
PF01064	Activin types I and II receptor domain	pfam	domain	IPR000472		
PF01065	Hexon, adenovirus major coat protein, N-terminal domain	pfam	domain	IPR016107		
PF01066	CDP-alcohol phosphatidyltransferase	pfam	family	IPR000462		
PF01067	Calpain large subunit, domain III	pfam	domain	IPR022682		
PF01068	ATP dependent DNA ligase domain	pfam	domain	IPR012310		
PF01070	FMN-dependent dehydrogenase	pfam	domain	IPR000262		
PF01071	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain	pfam	domain	IPR020561		
PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family	pfam	family	IPR002225		
PF01074	Glycosyl hydrolases family 38 N-terminal domain	pfam	domain	IPR000602		
PF01075	Glycosyltransferase family 9 (heptosyltransferase)	pfam	family	IPR002201		
PF01076	Plasmid recombination enzyme	pfam	family	IPR001668		
PF01077	Nitrite and sulphite reductase 4Fe-4S domain	pfam	family	IPR006067		
PF01078	Magnesium chelatase, subunit ChlI	pfam	domain	IPR000523		
PF01079	Hint module	pfam	family	IPR001767		
PF01080	Presenilin	pfam	family	IPR001108		
PF01081	KDPG and KHG aldolase	pfam	domain	IPR000887		
PF01082	Copper type II ascorbate-dependent monooxygenase, N-terminal domain	pfam	domain	IPR000323		
PF01083	Cutinase	pfam	domain	IPR000675		
PF01084	Ribosomal protein S18	pfam	family	IPR001648		
PF01085	Hedgehog amino-terminal signalling domain	pfam	domain	IPR000320		
PF01086	Clathrin light chain	pfam	family	IPR000996		
PF01087	Galactose-1-phosphate uridyl transferase, N-terminal domain	pfam	domain	IPR005849		
PF01088	Ubiquitin carboxyl-terminal hydrolase, family 1	pfam	domain	IPR001578		
PF01090	Ribosomal protein S19e	pfam	family	IPR001266		
PF01091	PTN/MK heparin-binding protein family, C-terminal domain	pfam	domain	IPR020090		
PF01092	Ribosomal protein S6e	pfam	family	IPR001377		
PF01093	Clusterin	pfam	family	IPR000753		
PF01094	Receptor family ligand binding region	pfam	family	IPR001828		
PF01095	Pectinesterase	pfam	repeat	IPR000070		
PF01096	Transcription factor S-II (TFIIS)	pfam	domain	IPR001222		
PF01097	Arthropod defensin	pfam	domain	IPR001542		
PF01098	Cell cycle protein	pfam	family	IPR001182		
PF01099	Uteroglobin family	pfam	domain	IPR016126		
PF01101	HMG14 and HMG17	pfam	family	IPR000079		
PF01102	Glycophorin A	pfam	family			
PF01103	Omp85 superfamily domain	pfam	domain	IPR000184		
PF01104	Bunyavirus non-structural protein NS-s	pfam	family	IPR000797		
PF01105	emp24/gp25L/p24 family/GOLD	pfam	domain	IPR009038		
PF01106	NifU-like domain	pfam	family	IPR001075		
PF01107	Viral movement protein (MP)	pfam	family	IPR028919		
PF01108	Tissue factor	pfam	family	IPR003961		
PF01109	Granulocyte-macrophage colony-stimulating factor	pfam	domain	IPR000773		
PF01110	Ciliary neurotrophic factor	pfam	domain	IPR000151		
PF01111	Cyclin-dependent kinase regulatory subunit	pfam	domain	IPR000789		
PF01112	Asparaginase	pfam	domain	IPR000246		
PF01113	Dihydrodipicolinate reductase, N-terminus	pfam	domain	IPR000846		
PF01114	Colipase, N-terminal domain	pfam	domain	IPR017913		
PF01115	F-actin capping protein, beta subunit	pfam	family	IPR001698		
PF01116	Fructose-bisphosphate aldolase class-II	pfam	domain	IPR000771		
PF01117	Aerolysin toxin	pfam	domain	IPR005830		
PF01118	Semialdehyde dehydrogenase, NAD binding domain	pfam	domain	IPR000534		
PF01119	DNA mismatch repair protein, C-terminal domain	pfam	family	IPR013507		
PF01120	Alpha-L-fucosidase	pfam	domain	IPR000933		
PF01121	Dephospho-CoA kinase	pfam	domain	IPR001977		
PF01122	Eukaryotic cobalamin-binding protein	pfam	repeat	IPR002157		
PF01123	Staphylococcal/Streptococcal toxin, OB-fold domain	pfam	domain	IPR006173		
PF01124	MAPEG family	pfam	family	IPR001129		
PF01125	G10 protein	pfam	domain	IPR001748		
PF01126	Heme oxygenase	pfam	domain	IPR016053		
PF01127	Succinate dehydrogenase/Fumarate reductase transmembrane subunit	pfam	family	IPR000701		
PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	pfam	family	IPR034683		
PF01129	NAD:arginine ADP-ribosyltransferase	pfam	family	IPR000768		
PF01130	CD36 family	pfam	family	IPR002159		
PF01131	DNA topoisomerase	pfam	family	IPR013497		
PF01132	Elongation factor P (EF-P) OB domain	pfam	domain	IPR001059		
PF01133	Enhancer of rudimentary	pfam	family	IPR000781		
PF01134	Glucose inhibited division protein A	pfam	family	IPR040131		
PF01135	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)	pfam	family			
PF01136	Peptidase family U32	pfam	family	IPR001539		
PF01137	RNA 3'-terminal phosphate cyclase	pfam	domain	IPR023797		
PF01138	3' exoribonuclease family, domain 1	pfam	domain	IPR001247		
PF01139	tRNA-splicing ligase RtcB	pfam	family	IPR001233		
PF01140	Matrix protein (MA), p15	pfam	family	IPR000840		
PF01141	Gag polyprotein, inner coat protein p12	pfam	family	IPR002079		
PF01142	tRNA pseudouridine synthase D (TruD)	pfam	family	IPR001656		
PF01144	Coenzyme A transferase	pfam	domain	IPR004165		
PF01145	SPFH domain / Band 7 family	pfam	family	IPR001107		
PF01146	Caveolin	pfam	family	IPR001612		
PF01147	Crustacean CHH/MIH/GIH neurohormone family	pfam	family	IPR031098		
PF01148	Cytidylyltransferase family	pfam	family			
PF01149	Formamidopyrimidine-DNA glycosylase N-terminal domain	pfam	domain	IPR012319		
PF01150	GDA1/CD39 (nucleoside phosphatase) family	pfam	family	IPR000407		
PF01151	GNS1/SUR4 family	pfam	family	IPR002076		
PF01152	Bacterial-like globin	pfam	domain	IPR001486		
PF01153	Glypican	pfam	family	IPR001863		
PF01154	Hydroxymethylglutaryl-coenzyme A synthase N terminal	pfam	domain	IPR013528		
PF01155	Hydrogenase/urease nickel incorporation, metallochaperone, hypA	pfam	domain	IPR000688		
PF01156	Inosine-uridine preferring nucleoside hydrolase	pfam	domain	IPR001910		
PF01157	Ribosomal protein L21e	pfam	family	IPR001147		
PF01158	Ribosomal protein L36e	pfam	family	IPR000509		
PF01159	Ribosomal protein L6e	pfam	family	IPR000915		
PF01160	Vertebrate endogenous opioids neuropeptide	pfam	family	IPR006024		
PF01161	Phosphatidylethanolamine-binding protein	pfam	domain	IPR008914		
PF01163	RIO1 family	pfam	family			
PF01165	Ribosomal protein S21	pfam	family	IPR001911		
PF01166	TSC-22/dip/bun family	pfam	unknown	IPR000580		
PF01167	Tub family	pfam	domain	IPR000007		
PF01168	Alanine racemase, N-terminal domain	pfam	domain	IPR001608		
PF01169	Uncharacterized protein family UPF0016	pfam	family	IPR001727		
PF01170	Putative RNA methylase family UPF0020	pfam	domain	IPR000241		
PF01171	PP-loop family	pfam	family	IPR011063		
PF01172	Shwachman-Bodian-Diamond syndrome (SBDS) protein	pfam	family	IPR019783		
PF01174	SNO glutamine amidotransferase family	pfam	domain	IPR002161		
PF01175	Urocanase Rossmann-like domain	pfam	domain	IPR035085		
PF01176	Translation initiation factor 1A / IF-1	pfam	domain	IPR006196		
PF01177	Asp/Glu/Hydantoin racemase	pfam	family	IPR015942		
PF01179	Copper amine oxidase, enzyme domain	pfam	domain	IPR015798		
PF01180	Dihydroorotate dehydrogenase	pfam	domain	IPR005720		
PF01182	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase	pfam	domain	IPR006148		
PF01183	Glycosyl hydrolases family 25	pfam	domain	IPR002053		
PF01184	GPR1/FUN34/yaaH family	pfam	family	IPR000791		
PF01185	Fungal hydrophobin	pfam	family	IPR001338		
PF01186	Lysyl oxidase	pfam	family	IPR001695		
PF01187	Macrophage migration inhibitory factor (MIF)	pfam	domain	IPR001398		
PF01189	16S rRNA methyltransferase RsmB/F	pfam	family	IPR001678		
PF01190	Pollen protein Ole e 1 like	pfam	family			
PF01191	RNA polymerase Rpb5, C-terminal domain	pfam	domain	IPR000783		
PF01192	RNA polymerase Rpb6	pfam	family	IPR006110		
PF01193	RNA polymerase Rpb3/Rpb11 dimerisation domain	pfam	domain	IPR011263		
PF01194	RNA polymerases N / 8 kDa subunit	pfam	domain	IPR000268		
PF01195	Peptidyl-tRNA hydrolase	pfam	domain	IPR001328		
PF01196	Ribosomal protein L17	pfam	family	IPR000456		
PF01197	Ribosomal protein L31	pfam	family	IPR002150		
PF01198	Ribosomal protein L31e	pfam	family	IPR000054		
PF01199	Ribosomal protein L34e	pfam	family	IPR008195		
PF01200	Ribosomal protein S28e	pfam	family	IPR000289		
PF01201	Ribosomal protein S8e	pfam	family	IPR022309		
PF01202	Shikimate kinase	pfam	domain	IPR031322		
PF01203	Type II secretion system (T2SS), protein N	pfam	family	IPR022792		
PF01204	Trehalase	pfam	repeat	IPR001661		
PF01205	Uncharacterized protein family UPF0029	pfam	family	IPR001498		
PF01206	Sulfurtransferase TusA	pfam	domain	IPR001455		
PF01207	Dihydrouridine synthase (Dus)	pfam	family	IPR035587		
PF01208	Uroporphyrinogen decarboxylase (URO-D)	pfam	domain	IPR000257		
PF01209	ubiE/COQ5 methyltransferase family	pfam	family	IPR004033		
PF01210	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus	pfam	family	IPR011128		
PF01212	Beta-eliminating lyase	pfam	domain	IPR001597		
PF01213	Adenylate cyclase associated (CAP) N terminal	pfam	family	IPR013992		
PF01214	Casein kinase II regulatory subunit	pfam	domain	IPR000704		
PF01215	Cytochrome c oxidase subunit Vb	pfam	domain	IPR002124		
PF01216	Calsequestrin	pfam	family	IPR001393		
PF01217	Clathrin adaptor complex small chain	pfam	domain	IPR022775		
PF01218	Coproporphyrinogen III oxidase	pfam	family	IPR001260		
PF01219	Prokaryotic diacylglycerol kinase	pfam	family	IPR000829		
PF01220	Dehydroquinase class II	pfam	domain	IPR001874		
PF01221	Dynein light chain type 1	pfam	domain	IPR001372		
PF01222	Ergosterol biosynthesis ERG4/ERG24 family	pfam	family	IPR001171		
PF01223	DNA/RNA non-specific endonuclease	pfam	domain	IPR001604		
PF01225	Mur ligase family, catalytic domain	pfam	domain	IPR000713		
PF01226	Formate/nitrite transporter	pfam	family	IPR000292		
PF01227	GTP cyclohydrolase I	pfam	domain	IPR020602		
PF01228	Glycine radical	pfam	domain	IPR001150		
PF01229	Glycosyl hydrolases family 39	pfam	family	IPR000514		
PF01230	HIT domain	pfam	domain	IPR011146		
PF01231	Indoleamine 2,3-dioxygenase	pfam	family	IPR000898		
PF01232	Mannitol dehydrogenase Rossmann domain	pfam	domain	IPR013131		
PF01233	Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain	pfam	domain	IPR022676		
PF01234	NNMT/PNMT/TEMT family	pfam	family	IPR000940		
PF01235	Sodium:alanine symporter family	pfam	family	IPR001463		
PF01237	Oxysterol-binding protein	pfam	family	IPR000648		
PF01238	Phosphomannose isomerase type I C-terminal	pfam	domain	IPR046456		
PF01239	Protein prenyltransferase alpha subunit repeat	pfam	repeat	IPR002088		
PF01241	Photosystem I psaG / psaK	pfam	family	IPR000549		
PF01242	6-pyruvoyl tetrahydropterin synthase	pfam	domain	IPR007115		
PF01243	Pyridoxamine 5'-phosphate oxidase	pfam	domain	IPR011576		
PF01244	Membrane dipeptidase (Peptidase family M19)	pfam	domain	IPR008257		
PF01245	Ribosomal protein L19	pfam	family	IPR001857		
PF01246	Ribosomal protein L24e	pfam	domain	IPR000988		
PF01247	Ribosomal protein L35Ae	pfam	domain	IPR001780		
PF01248	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family	pfam	domain	IPR004038		
PF01249	Ribosomal protein S21e	pfam	family	IPR001931		
PF01250	Ribosomal protein S6	pfam	domain	IPR000529		
PF01251	Ribosomal protein S7e	pfam	family	IPR000554		
PF01252	Signal peptidase (SPase) II	pfam	family	IPR001872		
PF01253	Translation initiation factor SUI1	pfam	domain	IPR001950		
PF01254	Nuclear transition protein 2	pfam	family	IPR000678		
PF01255	Putative undecaprenyl diphosphate synthase	pfam	family	IPR001441		
PF01256	Carbohydrate kinase	pfam	family	IPR000631		
PF01257	Thioredoxin-like [2Fe-2S] ferredoxin	pfam	family			
PF01258	Prokaryotic dksA/traR C4-type zinc finger	pfam	family	IPR000962		
PF01259	SAICAR synthetase	pfam	family	IPR028923		
PF01261	Xylose isomerase-like TIM barrel	pfam	domain	IPR013022		
PF01262	Alanine dehydrogenase/PNT, C-terminal domain	pfam	domain	IPR007698		
PF01263	Aldose 1-epimerase	pfam	family	IPR008183		
PF01264	Chorismate synthase	pfam	family	IPR000453		
PF01265	Cytochrome c/c1 heme lyase	pfam	family	IPR000511		
PF01266	FAD dependent oxidoreductase	pfam	domain	IPR006076		
PF01267	F-actin capping protein alpha subunit	pfam	family	IPR002189		
PF01268	Formate--tetrahydrofolate ligase	pfam	family	IPR000559		
PF01269	Fibrillarin	pfam	domain	IPR000692		
PF01270	Glycosyl hydrolases family 8	pfam	repeat	IPR002037		
PF01271	Granin (chromogranin or secretogranin)	pfam	family	IPR001990		
PF01272	Transcription elongation factor, GreA/GreB, C-term	pfam	domain	IPR001437		
PF01273	LBP / BPI / CETP family, N-terminal domain	pfam	family	IPR017942		
PF01274	Malate synthase	pfam	family	IPR001465		
PF01275	Myelin proteolipid protein (PLP or lipophilin)	pfam	family	IPR001614		
PF01276	Orn/Lys/Arg decarboxylase, major domain	pfam	domain	IPR000310		
PF01277	Oleosin	pfam	family	IPR000136		
PF01278	Omptin family	pfam	family	IPR000036		
PF01279	Parathyroid hormone family	pfam	family	IPR001415		
PF01280	Ribosomal protein L19e	pfam	family	IPR000196		
PF01281	Ribosomal protein L9, N-terminal domain	pfam	domain	IPR020070		
PF01282	Ribosomal protein S24e	pfam	family	IPR001976		
PF01283	Ribosomal protein S26e	pfam	family	IPR000892		
PF01284	Membrane-associating domain	pfam	domain	IPR008253		
PF01285	TEA/ATTS domain	pfam	domain	IPR000818		
PF01286	XPA protein N-terminal	pfam	domain	IPR022652		
PF01287	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold	pfam	domain	IPR020189		
PF01288	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)	pfam	domain	IPR000550		
PF01289	Thiol-activated cytolysin	pfam	family	IPR001869		
PF01290	Thymosin beta-4 family	pfam	family	IPR001152		
PF01291	LIF / OSM family	pfam	domain	IPR001581		
PF01292	Prokaryotic cytochrome b561	pfam	family	IPR011577		
PF01293	Phosphoenolpyruvate carboxykinase	pfam	family	IPR001272		
PF01294	Ribosomal protein L13e	pfam	family	IPR001380		
PF01295	Adenylate cyclase, class-I	pfam	family	IPR000274		
PF01296	Galanin	pfam	family	IPR008174		
PF01297	Zinc-uptake complex component A periplasmic	pfam	family	IPR006127		
PF01298	C-lobe and N-lobe beta barrels of Tf-binding protein B	pfam	domain	IPR001677		
PF01299	Lysosome-associated membrane glycoprotein (Lamp)	pfam	family	IPR002000		
PF01300	Telomere recombination	pfam	family	IPR006070		
PF01301	Glycosyl hydrolases family 35	pfam	domain	IPR031330		
PF01302	CAP-Gly domain	pfam	domain	IPR000938		
PF01303	Egg lysin (Sperm-lysin)	pfam	domain	IPR001379		
PF01304	Gas vesicles protein GVPc repeated domain	pfam	repeat	IPR002003		
PF01306	LacY proton/sugar symporter	pfam	family	IPR000576		
PF01307	Plant viral movement protein	pfam	family	IPR001896		
PF01308	Chlamydia major outer membrane protein	pfam	domain	IPR000604		
PF01309	Equine arteritis virus small envelope glycoprotein	pfam	family	IPR001913		
PF01310	Adenovirus hexon associated protein, protein VIII	pfam	family	IPR000646		
PF01311	Bacterial export proteins, family 1	pfam	family	IPR002010		
PF01312	FlhB HrpN YscU SpaS Family	pfam	family	IPR006135		
PF01313	Bacterial export proteins, family 3	pfam	family	IPR002191		
PF01314	Aldehyde ferredoxin oxidoreductase, domains 2 & 3	pfam	domain	IPR001203		
PF01315	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	pfam	domain	IPR000674		
PF01316	Arginine repressor, DNA binding domain	pfam	domain	IPR020900		
PF01318	Bromovirus coat protein	pfam	domain	IPR002009		
PF01320	Colicin immunity protein / pyocin immunity protein	pfam	domain	IPR000290		
PF01321	Creatinase/Prolidase N-terminal domain	pfam	domain	IPR000587		
PF01322	Cytochrome C'	pfam	domain	IPR002321		
PF01323	DSBA-like thioredoxin domain	pfam	domain	IPR001853		
PF01324	Diphtheria toxin, R domain	pfam	domain	IPR022404		
PF01325	Iron dependent repressor, N-terminal DNA binding domain	pfam	domain	IPR022687		
PF01326	Pyruvate phosphate dikinase, AMP/ATP-binding domain	pfam	family	IPR002192		
PF01327	Polypeptide deformylase	pfam	domain	IPR023635		
PF01328	Peroxidase, family 2	pfam	family	IPR000028		
PF01329	Pterin 4 alpha carbinolamine dehydratase	pfam	domain	IPR001533		
PF01330	RuvA N terminal domain	pfam	domain	IPR013849		
PF01331	mRNA capping enzyme, catalytic domain	pfam	domain	IPR001339		
PF01333	Apocytochrome F, C-terminal	pfam	domain	IPR002325		
PF01335	Death effector domain	pfam	domain	IPR001875		
PF01336	OB-fold nucleic acid binding domain	pfam	domain	IPR004365		
PF01337	Barstar (barnase inhibitor)	pfam	domain	IPR000468		
PF01338	Bacillus thuringiensis toxin	pfam	domain	IPR001615		
PF01339	CheB methylesterase	pfam	domain	IPR000673		
PF01340	Met Apo-repressor, MetJ	pfam	domain	IPR002084		
PF01341	Glycosyl hydrolases family 6	pfam	domain	IPR016288		
PF01342	SAND domain	pfam	family	IPR000770		
PF01343	Peptidase family S49	pfam	family	IPR002142		
PF01344	Kelch motif	pfam	repeat	IPR006652		
PF01345	Domain of unknown function DUF11	pfam	domain	IPR001434		
PF01346	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase	pfam	domain	IPR000774		
PF01347	Lipoprotein amino terminal region	pfam	repeat	IPR001747		
